id	lang	theme	kind	polarity	stem	choices	correct	explanation	source_ref	source_url	source_as_of	image
q-oni-it-oniart142-3888cde0-10795716	it	definitions	definition_mc	affirmative	In base a queste definizioni, l'«analisi dei rischi» è un'analisi ai sensi di quale disposizione?	Dell'articolo 2 lettera d dell'ordinanza del 14 marzo 1994 | Dell'articolo 2 lettera f OCB | Dell'articolo 5 OCB	A	ONI art. 142 lett. a definisce l'analisi dei rischi come un'analisi ai sensi dell'articolo 2 lettera d dell'ordinanza del 14 marzo 1994.	ONI art. 142	https://www.fedlex.admin.ch/eli/cc/1979/337_337_337/fr	2022-01-01	
q-oni-it-oniart142-3888cde0-97c3b2e5	it	definitions	definition_mc	negative	Quale tra le seguenti affermazioni NON corrisponde alle definizioni date dall'articolo?	L'obbligo di diligenza è il rapporto sulla sicurezza di cui all'articolo 17 capoverso 3 OCB | Il rapporto di perizia è un rapporto ai sensi dell'articolo 2 lettera f OCB | L'obbligo di diligenza sono regole ai sensi dell'articolo 5 OCB	A	ONI art. 142 lett. e definisce l'obbligo di diligenza come regole ai sensi dell'articolo 5 OCB, non come un rapporto sulla sicurezza.	ONI art. 142	https://www.fedlex.admin.ch/eli/cc/1979/337_337_337/fr	2022-01-01	
q-oni-it-oniart142-3888cde0-f3ac7113	it	definitions	definition_mc	affirmative	Secondo le definizioni dell'articolo, chi è il «perito»?	Una persona ai sensi dell'articolo 5a capoverso 1 lettera a OCB | L'autorità competente che approva il rapporto sulla sicurezza | Il responsabile dell'obbligo di diligenza definito all'articolo 17 OCB	A	ONI art. 142 lett. c definisce il perito come una persona ai sensi dell'articolo 5a capoverso 1 lettera a OCB.	ONI art. 142	https://www.fedlex.admin.ch/eli/cc/1979/337_337_337/fr	2022-01-01	
q-rnl-it-rnlart71-1ace0b9a-dca94200	it	definitions	definition_mc	affirmative	Quale tra le seguenti condizioni rientra nella definizione di navigazione in tempo di foschia?	La navigazione con nevischio o piogge tempestose | La navigazione con vento forte ma cielo sereno | La navigazione di notte con buona visibilità	A	RNL art. 71 include espressamente nevischio, neve e piogge tempestose tra le condizioni della navigazione in tempo di foschia.	RNL art. 71	https://www.fedlex.admin.ch/eli/cc/1978/1994_1993_1993/fr	2019-06-01	
q-rnl-it-rnlart16-a9ac4e80-18a14feb	it	eaux_frontalieres	frontiere_mc	negative	Quale affermazione NON è corretta riguardo al rilascio dell'autorizzazione per una manifestazione nautica?	L'autorizzazione è sempre rilasciata anche senza assicurazione di responsabilità civile | Deve essere garantita la sicurezza dei partecipanti | La manifestazione non deve comportare grave pregiudizio per la qualità delle acque	A	Secondo il RNL art. 16 par. 2 lett. b, l'autorizzazione è accordata solo se è stata conclusa l'assicurazione di responsabilità civile prescritta.	RNL art. 16	https://www.fedlex.admin.ch/eli/cc/1978/1994_1993_1993/fr	2019-06-01	
q-rnl-it-rnlart16-a9ac4e80-c4a782cf	it	eaux_frontalieres	frontiere_mc	affirmative	A quale condizione sono soggette le gare di velocità e le feste nautiche che possono originare concentrazioni di navi?	All'autorizzazione dell'autorità competente | A una semplice notifica preventiva alla polizia | All'esclusivo consenso degli altri navigatori presenti	A	Secondo il RNL art. 16 par. 1, tali manifestazioni sono soggette ad autorizzazione dell'autorità competente.	RNL art. 16	https://www.fedlex.admin.ch/eli/cc/1978/1994_1993_1993/fr	2019-06-01	
q-rnl-it-rnlart62-1c86fded-5da12a4d	it	eaux_frontalieres	frontiere_mc	affirmative	Quando due navi seguono rotte che s'incrociano con pericolo d'abbordo, quale deve scostarsi?	La nave che scorge l'altra da dritta | La nave che scorge l'altra da sinistra | La nave più grande delle due	A	Secondo il RNL art. 62 lett. b, deve scostarsi la nave che scorge l'altra da dritta.	RNL art. 62	https://www.fedlex.admin.ch/eli/cc/1978/1994_1993_1993/fr	2019-06-01	
q-rnl-it-rnlart62-1c86fded-faf14f78	it	eaux_frontalieres	frontiere_mc	affirmative	Quando due navi procedono con rotte direttamente opposte con pericolo d'abbordo, come devono comportarsi?	Ognuna deve accostare a dritta per passare a sinistra dell'altra | Ognuna deve accostare a sinistra per passare a dritta dell'altra | Entrambe devono mantenere rotta e velocità invariate	A	Secondo il RNL art. 62 lett. c, con rotte opposte ognuna deve accostare a dritta per passare a sinistra dell'altra.	RNL art. 62	https://www.fedlex.admin.ch/eli/cc/1978/1994_1993_1993/fr	2019-06-01	
q-rnl-it-rnlart64-661f0135-525d5d41	it	eaux_frontalieres	frontiere_mc	affirmative	In caso di incrocio o sorpasso, da quali navi devono scostarsi le tavole a vela e i kite surf?	Da tutte le altre navi | Soltanto dalle navi passeggeri prioritarie | Soltanto dai velieri e dalle navi a remi	A	Secondo il RNL art. 64 par. 2 lett. f, le tavole a vela e i kite surf devono scostarsi da tutte le altre navi.	RNL art. 64	https://www.fedlex.admin.ch/eli/cc/1978/1994_1993_1993/fr	2019-06-01	
q-rnl-it-rnlart64-661f0135-87536a01	it	eaux_frontalieres	frontiere_mc	negative	Quale affermazione NON è corretta riguardo agli obblighi di scostarsi previsti dal RNL art. 64?	Le navi passeggeri prioritarie devono scostarsi da tutte le navi a vela | Ogni nave deve scostarsi dalle navi senza manovrabilità che portano la segnaletica prevista | Le navi a motore (salvo le eccezioni elencate) devono scostarsi dalle navi a remi	A	Secondo il RNL art. 64 par. 2, le navi passeggeri prioritarie non sono tenute a scostarsi dai velieri, contrariamente a quanto affermato.	RNL art. 64	https://www.fedlex.admin.ch/eli/cc/1978/1994_1993_1993/fr	2019-06-01	
