id	lang	theme	kind	polarity	stem	choices	correct	explanation	source_ref	source_url	source_as_of	image
q-binnenvaartbesluit-nl-binnenvaartbesluit-3c20e014	nl	algemene_bepalingen	definition_mc	affirmative	Wat verstaat het Binnenvaartbesluit onder een duwboot?	Een schip dat is bestemd of wordt gebruikt voor het duwen van schepen en niet bestemd is voor het zelfstandig vervoeren van goederen | Een schip dat is bestemd voor het slepen van schepen | Een drijvend bouwsel met permanente ligplaats voor de levering van brandstof	A	Binnenvaartbesluit artikel 1: duwboot is een schip dat is bestemd of wordt gebruikt voor het duwen van schepen en niet bestemd is voor het zelfstandig vervoeren van goederen.	Binnenvaartbesluit Artikel 1	https://wetten.overheid.nl/BWBR0025631	2025-06-01	
q-binnenvaartbesluit-nl-binnenvaartbesluit-bcc5f881	nl	algemene_bepalingen	definition_mc	affirmative	Wat verstaat het Binnenvaartbesluit onder de lengte van een schip?	De grootste lengte van de scheepsromp in meters, het roer en de boegspriet niet inbegrepen | De afstand tussen de loodlijnen van het schip | De grootste lengte inclusief het roer en de boegspriet	A	Binnenvaartbesluit artikel 1: lengte is de grootste lengte van de scheepsromp in meters, het roer en de boegspriet niet inbegrepen.	Binnenvaartbesluit Artikel 1	https://wetten.overheid.nl/BWBR0025631	2025-06-01	
q-binnenvaartwet-nl-binnenvaartwetartikel1-12777171	nl	algemene_bepalingen	definition_mc	affirmative	Wat verstaat de Binnenvaartwet onder binnenwateren?	Wateren die in Nederland zijn gelegen binnen een langs de Nederlandse kust gaande, bij ministeriële regeling aan te wijzen lijn | Alle wateren binnen de territoriale zee van Nederland | Uitsluitend de rivieren en kanalen in beheer bij het Rijk	A	Binnenvaartwet artikel 1: binnenwateren zijn wateren die in Nederland zijn gelegen binnen een langs de Nederlandse kust gaande, bij ministeriële regeling aan te wijzen lijn.	Binnenvaartwet Artikel 1	https://wetten.overheid.nl/BWBR0023009	2025-06-01	
q-binnenvaartwet-nl-binnenvaartwetartikel1-bc0178de	nl	algemene_bepalingen	definition_mc	affirmative	Wie is volgens de Binnenvaartwet een bemanningslid?	Ieder die zich als schipper, stuurman, machinist, matroos of deksman aan boord van een schip bevindt | Uitsluitend de schipper en de stuurman | Iedere passagier die meehelpt bij het meren	A	Binnenvaartwet artikel 1: bemanningslid is ieder die zich als schipper, stuurman, machinist, volmatroos, matroos-motordrijver, matroos, lichtmatroos, lid van het veiligheidspersoneel of deksman aan boord bevindt.	Binnenvaartwet Artikel 1	https://wetten.overheid.nl/BWBR0023009	2025-06-01	
q-bpr-nl-binnenvaartpolitiereglementartike-0f45323a	nl	algemene_bepalingen	definition_mc	affirmative	Waar staat welke scheepsbescheiden aan boord aanwezig moeten zijn?	In bijlage 13 van het reglement | In bijlage 7 van het reglement | In het Handboek voor de radiocommunicatie in de binnenvaart	A	BPR artikel 1.10, eerste lid: aan boord moeten de in bijlage 13 bedoelde scheepsbescheiden en andere documenten aanwezig zijn.	Binnenvaartpolitiereglement Artikel 1.10	https://wetten.overheid.nl/BWBR0003628	2026-06-17	
q-bpr-nl-binnenvaartpolitiereglementartike-1350e11b	nl	algemene_bepalingen	definition_mc	affirmative	Moet de schipper tijdens de vaart aan boord zijn?	Ja, de schipper moet tijdens de vaart aan boord zijn | Nee, hij mag het schip vanaf de wal aansturen | Alleen wanneer het schip een groot schip is	A	BPR artikel 1.02, vierde lid: de schipper moet tijdens de vaart aan boord zijn; de schipper van een drijvend werktuig ook wanneer het werktuig in bedrijf is.	Binnenvaartpolitiereglement Artikel 1.02	https://wetten.overheid.nl/BWBR0003628	2026-06-17	
q-bpr-nl-binnenvaartpolitiereglementartike-14ec46f2	nl	algemene_bepalingen	definition_mc	affirmative	Wie is verantwoordelijk voor de naleving van de bepalingen van het BPR?	De schipper, tenzij uit die bepalingen blijkt dat de naleving aan anderen is opgedragen | De eigenaar van het schip in alle gevallen | De bevoegde autoriteit van het vaargebied	A	BPR artikel 1.02, tweede lid: de schipper is verantwoordelijk voor de naleving van de bepalingen van dit reglement, tenzij daaruit blijkt dat de naleving aan anderen is opgedragen.	Binnenvaartpolitiereglement Artikel 1.02	https://wetten.overheid.nl/BWBR0003628	2026-06-17	
q-bpr-nl-binnenvaartpolitiereglementartike-1b905606	nl	algemene_bepalingen	definition_mc	affirmative	Welke minimumleeftijd geldt voor het sturen van een snelle motorboot?	18 jaar | 16 jaar | 12 jaar	A	BPR artikel 1.09, eerste lid onder a: voor het sturen van een snelle motorboot geldt een minimumleeftijd van 18 jaar.	Binnenvaartpolitiereglement Artikel 1.09	https://wetten.overheid.nl/BWBR0003628	2026-06-17	
q-bpr-nl-binnenvaartpolitiereglementartike-1c199ec4	nl	algemene_bepalingen	definition_mc	negative	Wat mag een schip niet doen met een verkeersteken?	Het gebruiken om daaraan te meren of te verhalen, het beschadigen of het ongeschikt maken voor zijn bestemming | Het fotograferen vanaf het water | Het passeren aan de zijde waar het is aangebracht	A	BPR artikel 1.13, eerste lid: een schip mag verkeerstekens niet gebruiken om daaraan te meren of te verhalen, ze niet beschadigen en ze niet ongeschikt voor hun bestemming maken.	Binnenvaartpolitiereglement Artikel 1.13	https://wetten.overheid.nl/BWBR0003628	2026-06-17	
q-bpr-nl-binnenvaartpolitiereglementartike-21613444	nl	algemene_bepalingen	definition_mc	affirmative	Wat is volgens het BPR een groot schip?	Een schip niet zijnde een klein schip | Elk schip met een lengte van meer dan 40 m | Elk schip dat bedrijfsmatig goederen vervoert	A	BPR artikel 1.01 onder A, 3°: een groot schip is een schip niet zijnde een klein schip.	Binnenvaartpolitiereglement Artikel 1.01	https://wetten.overheid.nl/BWBR0003628	2026-06-17	
