id	lang	theme	kind	polarity	stem	choices	correct	explanation	source_ref	source_url	source_as_of	image
q-oni-de-oniart142-1b69a547-32a86bb7	de	definitions	definition_mc	affirmative	Worauf bezieht sich die in ONI Art. 142 definierte «Risikoanalyse»?	Auf eine Analyse im Sinne von Artikel 2 Buchstabe d der Schiffbauverordnung (SBV) | Auf einen Bericht im Sinne von Artikel 17 Absatz 3 SBV | Auf Regeln im Sinne von Artikel 5 SBV	A	Nach ONI Art. 142 Bst. a ist die Risikoanalyse eine Analyse im Sinne von Art. 2 Bst. d der Schiffbauverordnung.	ONI art. 142	https://www.fedlex.admin.ch/eli/cc/1979/337_337_337/fr	2022-01-01	
q-oni-de-oniart142-1b69a547-550309bf	de	definitions	definition_mc	negative	Welche Aussage zu den in ONI Art. 142 definierten Begriffen ist FALSCH?	Die Sorgfaltsregeln sind Regeln im Sinne von Artikel 2 Buchstabe d SBV | Der Sicherheitsbericht ist ein Bericht im Sinne von Artikel 2 Buchstabe e und 17 Absatz 3 SBV | Der Sachverständigenprüfbericht ist ein Bericht im Sinne von Artikel 2 Buchstabe f SBV	A	Nach ONI Art. 142 Bst. e sind die Sorgfaltsregeln Regeln im Sinne von Art. 5 SBV, nicht von Art. 2 Bst. d.	ONI art. 142	https://www.fedlex.admin.ch/eli/cc/1979/337_337_337/fr	2022-01-01	
q-oni-de-oniart142-1b69a547-623a0164	de	definitions	definition_mc	affirmative	Wie wird der Begriff «Sachverständiger» in ONI Art. 142 bestimmt?	Als eine Person im Sinne von Artikel 5a Absatz 1 Buchstabe a SBV | Als ein Bericht im Sinne von Artikel 2 Buchstabe f SBV | Als eine Analyse im Sinne von Artikel 2 Buchstabe d SBV	A	Gemäss ONI Art. 142 Bst. c ist ein Sachverständiger eine Person im Sinne von Art. 5a Abs. 1 Bst. a SBV.	ONI art. 142	https://www.fedlex.admin.ch/eli/cc/1979/337_337_337/fr	2022-01-01	
q-rnl-de-rnlart71-b854fa2a-b68dcea4	de	definitions	definition_mc	affirmative	Was bedeutet «Fahrt bei unsichtigem Wetter» nach RNL Art. 71?	Schifffahrt bei Tag und bei Nacht bei Nebel, Dunst, Schneetreiben oder schwerem Regenfall | Schifffahrt ausschliesslich bei Tageslicht unter eingeschränkter Sicht | Schifffahrt nur bei Nacht ohne ausreichende Beleuchtung	A	RNL Art. 71 definiert die Fahrt bei unsichtigem Wetter als Schifffahrt bei Tag und bei Nacht bei Nebel, Dunst, Schneetreiben sowie schwerem Regenfall.	RNL art. 71	https://www.fedlex.admin.ch/eli/cc/1978/1994_1993_1993/fr	2019-06-01	
q-rnl-de-rnlart71-b854fa2a-ff9a2b74	de	definitions	definition_mc	affirmative	Welche Wetterbedingungen werden in RNL Art. 71 ausdrücklich als unsichtiges Wetter genannt?	Nebel und Schneetreiben | Starker Wind und hoher Wellengang | Gewitter und Blitzschlag	A	RNL Art. 71 nennt ausdrücklich Nebel, Dunst, Schneetreiben und schweren Regenfall; Wind, Wellen und Gewitter werden nicht erwähnt.	RNL art. 71	https://www.fedlex.admin.ch/eli/cc/1978/1994_1993_1993/fr	2019-06-01	
q-rnl-de-rnlart16-74e86be7-071665c8	de	eaux_frontalieres	frontiere_mc	affirmative	Was ist nach RNL art. 16 für Wettfahrten, Festlichkeiten und sonstige Veranstaltungen auf dem Wasser erforderlich, die zu Ansammlungen von Schiffen führen können?	Eine Bewilligung der zuständigen Behörde | Nur eine mündliche Anmeldung bei der Hafenmeisterei | Keine Bewilligung, solange weniger als zehn Schiffe teilnehmen	A	Nach RNL art. 16 Abs. 1 bedürfen solche Veranstaltungen der Bewilligung der zuständigen Behörde.	RNL art. 16	https://www.fedlex.admin.ch/eli/cc/1978/1994_1993_1993/fr	2019-06-01	
q-rnl-de-rnlart16-74e86be7-af0e8d46	de	eaux_frontalieres	frontiere_mc	affirmative	Unter welcher Voraussetzung wird eine Bewilligung für eine Veranstaltung auf dem Wasser nach RNL art. 16 erteilt?	Wenn die vorgeschriebene Haftpflichtversicherung abgeschlossen ist. | Wenn die Veranstaltung ausschliesslich auf schweizerischem Gebiet stattfindet. | Wenn ausschliesslich motorlose Schiffe teilnehmen.	A	Nach RNL art. 16 Abs. 2 Bst. b wird die Bewilligung nur erteilt, wenn die vorgeschriebene Haftpflichtversicherung abgeschlossen ist.	RNL art. 16	https://www.fedlex.admin.ch/eli/cc/1978/1994_1993_1993/fr	2019-06-01	
q-rnl-de-rnlart3-600d0f45-6ef88aa7	de	eaux_frontalieres	frontiere_mc	affirmative	Was muss die verantwortliche Person im Steuerstand während der Fahrt eines Fahrgastschiffes nach RNL art. 3 ständig tun?	Die Sprechfunkanlage nach Art. 86a auf Kanal 16 (Seenot) auf Empfang geschaltet halten | Die Sprechfunkanlage auf Kanal 12 (Betrieb) auf Empfang geschaltet halten | Die Sprechfunkanlage ausgeschaltet lassen, um Ablenkung zu vermeiden	A	Nach RNL art. 3 Abs. 3 muss die Sprechfunkanlage während der Fahrt ständig auf Kanal 16 (Seenot) auf Empfang geschaltet sein.	RNL art. 3	https://www.fedlex.admin.ch/eli/cc/1978/1994_1993_1993/fr	2019-06-01	
q-rnl-de-rnlart62-788b1b04-67bd6da0	de	eaux_frontalieres	frontiere_mc	affirmative	Wie ist die Begegnung zweier Schiffe auf entgegengesetztem oder nahezu entgegengesetztem Kurs nach RNL art. 62 grundsätzlich zu regeln?	Jedes Schiff hält nach Steuerbord, sodass sie Backbord an Backbord aneinander vorbeifahren. | Jedes Schiff hält nach Backbord, sodass sie Steuerbord an Steuerbord vorbeifahren. | Beide Schiffe müssen sofort anhalten und das jeweils andere passieren lassen.	A	Nach RNL art. 62 Bst. c muss jedes Schiff nach Steuerbord halten, um Backbord an Backbord vorbeizufahren.	RNL art. 62	https://www.fedlex.admin.ch/eli/cc/1978/1994_1993_1993/fr	2019-06-01	
q-rnl-de-rnlart62-788b1b04-caa30eaf	de	eaux_frontalieres	frontiere_mc	affirmative	Zwei Schiffe fahren auf kreuzendem Kurs, sodass die Gefahr eines Zusammenstosses nicht auszuschliessen ist. Welches Schiff muss ausweichen?	Das Schiff, das das andere auf seiner Steuerbordseite hat | Das Schiff, das das andere auf seiner Backbordseite hat | Das jeweils grössere und schnellere Schiff	A	Nach RNL art. 62 Bst. b muss das Schiff ausweichen, welches das andere auf seiner Steuerbordseite hat.	RNL art. 62	https://www.fedlex.admin.ch/eli/cc/1978/1994_1993_1993/fr	2019-06-01	
q-rnl-de-rnlart64-68c3bed8-3998983b	de	eaux_frontalieres	frontiere_mc	negative	Welche Aussage zur Vorrangregelung nach RNL art. 64 trifft NICHT zu?	Segelbretter und Drachensegelbretter haben Vorrang vor allen anderen Schiffen. | Den Fahrgastschiffen mit Vorrang und den Schleppverbänden müssen alle anderen Schiffe ausweichen. | Ruderboote müssen allen Schiffen mit Maschinenantrieb ausweichen, ausgenommen bestimmten vorrangigen Schiffen.	A	Nach RNL art. 64 Abs. 2 Bst. f müssen Segelbretter und Drachensegelbretter allen anderen Schiffen ausweichen, haben also keinen Vorrang.	RNL art. 64	https://www.fedlex.admin.ch/eli/cc/1978/1994_1993_1993/fr	2019-06-01	
q-rnl-de-rnlart64-68c3bed8-4dd610b6	de	eaux_frontalieres	frontiere_mc	affirmative	Einem manövrierunfähigen Schiff, das die Zeichen nach Artikel 33 oder 38 führt, müssen ausweichen:	Alle Schiffe | Nur die Segelschiffe und Ruderboote | Nur die Güterschiffe und Schleppverbände	A	Nach RNL art. 64 Abs. 1 müssen alle Schiffe einem manövrierunfähigen Schiff mit den Zeichen nach Art. 33 oder 38 ausweichen.	RNL art. 64	https://www.fedlex.admin.ch/eli/cc/1978/1994_1993_1993/fr	2019-06-01	
q-rnl-de-rnlart86a-04ed09d4-1c39bb0b	de	eaux_frontalieres	frontiere_mc	affirmative	Auf welchem Kanal muss die Sprechfunkanlage eines Fahrgastschiffes nach RNL art. 86a für den Seenotruf senden können?	Kanal 16 | Kanal 12 | Kanal K	A	Nach RNL art. 86a Abs. 1 Bst. c ist Kanal 16 der Kanal für den Seenotruf, während Kanal 12 für den Betrieb und Kanal K für die Koordination der Rettungskräfte dient.	RNL art. 86a	https://www.fedlex.admin.ch/eli/cc/1978/1994_1993_1993/fr	2019-06-01	
q-rnl-de-rnlart86a-04ed09d4-3701aebf	de	eaux_frontalieres	frontiere_mc	affirmative	Welche Aussage zur Ausrüstung von Fahrgastschiffen nach RNL art. 86a ist korrekt?	Die Pflicht zur Ausrüstung mit Radargerät und Wendeanzeiger gilt nur für Schiffe in internationaler Fahrt. | Das Radargerät und der Wendeanzeiger sind für alle Fahrgastschiffe ausnahmslos vorgeschrieben. | Die interne Sprechverbindung darf von allen Fahrgästen frei benutzt werden.	A	Nach RNL art. 86a Abs. 2 gelten Radargerät und Wendeanzeiger nur für Schiffe in internationaler Fahrt; die interne Sprechverbindung ist dem Bordpersonal vorbehalten.	RNL art. 86a	https://www.fedlex.admin.ch/eli/cc/1978/1994_1993_1993/fr	2019-06-01	
q-rnl-de-rnlart86f-e3384396-88b307f6	de	eaux_frontalieres	frontiere_mc	affirmative	Welche Anforderungen gelten gemäss RNL art. 86f für Sammelrettungsmittel auf Fahrgastschiffen?	Sie müssen resistent gegen Öl und Erdölderivate sein und Temperaturen bis einschliesslich 50 °C aushalten. | Sie müssen mit einer Leine am Schiff befestigt werden können, damit sie nicht abtreiben. | Sie müssen ausschliesslich leuchtend gelb gefärbt sein und dürfen keine Beschriftung tragen.	A,B	RNL art. 86f verlangt Öl-/Temperaturresistenz und eine am Schiff befestigbare Leine; die Mittel sollen jedoch rückstrahlend orangefarbig und beschriftet sein.	RNL art. 86f	https://www.fedlex.admin.ch/eli/cc/1978/1994_1993_1993/fr	2019-06-01	
q-rnl-de-rnlart86f-e3384396-e263c9c5	de	eaux_frontalieres	frontiere_mc	affirmative	Welche Auftriebskraft müssen Sammelrettungsmittel an Bord eines Fahrgastschiffes im Süsswasser pro Person mindestens aufweisen?	Mindestens 750 N pro Person | Mindestens 75 N pro Person | Mindestens 100 N pro Person	A	Nach RNL art. 86f müssen Sammelrettungsmittel im Süsswasser pro Person eine Auftriebskraft von mindestens 750 N haben.	RNL art. 86f	https://www.fedlex.admin.ch/eli/cc/1978/1994_1993_1993/fr	2019-06-01	
q-oni-de-oniart134-3ddc1ad3-3bd9c496	de	lois	rule_mc	affirmative	Welche Mindestauftriebskraft müssen Einzelrettungsmittel grundsätzlich aufweisen?	Mindestens 75 N. | Mindestens 100 N. | Mindestens 750 N.	A	Nach ONI Art. 134 Abs. 2 müssen Einzelgeräte mindestens 75 N Auftrieb haben.	ONI art. 134	https://www.fedlex.admin.ch/eli/cc/1979/337_337_337/fr	2022-01-01	
q-oni-de-oniart134-3ddc1ad3-3e50abae	de	lois	rule_mc	negative	Welche Aussage zu den Rettungsgeräten nach diesem Artikel trifft NICHT zu?	Aufblasbare Rettungswesten werden nicht anerkannt. | Vergnügungsschiffe und Sportboote mit mehr als 30 kW Antriebsleistung benötigen zusätzlich ein Rettungswurfgerät. | Auf Schiffen muss für jede Person ein Einzelrettungsmittel oder ein Platz in einem Sammelrettungsmittel vorhanden sein.	A	Nach ONI Art. 134 Abs. 2bis werden aufblasbare Rettungswesten anerkannt, wenn der Aufblasvorgang automatisch oder von Hand ausgelöst wird.	ONI art. 134	https://www.fedlex.admin.ch/eli/cc/1979/337_337_337/fr	2022-01-01	
q-oni-de-oniart143a-2b95f4ff-382aba0c	de	lois	rule_mc	affirmative	Wann gilt der rechnerische Nachweis der ausreichenden Stabilität eines beladenen Güterschiffs als erbracht?	Wenn der Krängungswinkel 5 Grad nicht übersteigt und Seite Deck an der tiefsten Stelle nicht eintaucht. | Wenn der Krängungswinkel 15 Grad nicht übersteigt. | Wenn die metazentrische Höhe 0,50 m nicht unterschreitet.	A	Nach ONI Art. 143a Abs. 2 darf der Krängungswinkel 5 Grad nicht übersteigen und Seite Deck nicht eintauchen.	ONI art. 143a	https://www.fedlex.admin.ch/eli/cc/1979/337_337_337/fr	2022-01-01	
