id	lang	theme	kind	polarity	stem	choices	correct	explanation	source_ref	source_url	source_as_of	image
q-oni-oniart142-d5cfcfd2-817324cd	fr	definitions	definition_mc	affirmative	Selon l'art. 142 ONI, à quelle ordonnance se réfèrent les définitions de l'« analyse des risques », du « rapport de sécurité » et du « devoir de diligence » ?	À l'ordonnance du 14 mars 1994 sur la construction des bateaux (OCEB). | À l'ordonnance sur la navigation intérieure (ONI) elle-même. | Au règlement de la navigation sur le Léman (RNL).	A	L'art. 142 ONI renvoie pour ces notions aux articles de l'OCEB (ordonnance du 14 mars 1994 sur la construction des bateaux).	ONI art. 142	https://www.fedlex.admin.ch/eli/cc/1979/337_337_337/fr	2022-01-01	
q-oni-oniart142-d5cfcfd2-aefac3d2	fr	definitions	definition_mc	negative	Parmi ces affirmations sur les définitions de l'art. 142 ONI, laquelle est FAUSSE ?	Le « devoir de diligence » est défini à l'art. 142 ONI sans renvoi à une autre ordonnance. | Le « rapport de sécurité » est un rapport au sens des art. 2, let. e, et 17, al. 3, OCEB. | Le « rapport d'examen d'expert » est un rapport au sens de l'art. 2, let. f, OCEB.	A	Selon l'art. 142, let. e, ONI, le « devoir de diligence » est défini par renvoi à l'art. 5 OCEB, et non sans renvoi.	ONI art. 142	https://www.fedlex.admin.ch/eli/cc/1979/337_337_337/fr	2022-01-01	
q-oni-oniart142-d5cfcfd2-afaf3463	fr	definitions	definition_mc	affirmative	D'après l'art. 142 ONI, comment sont définis les « experts » au sens des dispositions particulières de cette section ?	Comme les personnes visées à l'art. 5a, al. 1, let. a, OCEB. | Comme les agents de l'autorité compétente du lieu de stationnement. | Comme les membres d'une société de classification reconnue.	A	Selon l'art. 142, let. c, ONI, les « experts » sont les personnes visées à l'art. 5a, al. 1, let. a, OCEB.	ONI art. 142	https://www.fedlex.admin.ch/eli/cc/1979/337_337_337/fr	2022-01-01	
q-oni-oniart2-2bf27aad-01b54b7e	fr	definitions	definition_mc	affirmative	Au sens de l’ONI, que désigne le terme « bateau motorisé » ?	Un bateau à propulsion mécanique | Un bateau non propulsé remorqué par un autre bateau | Un engin flottant tel qu’une drague ou une grue	A	ONI art. 2 : le « bateau motorisé » est un bateau à propulsion mécanique.	ONI art. 2	https://www.fedlex.admin.ch/eli/cc/1979/337_337_337/fr	2022-01-01	
q-oni-oniart2-2bf27aad-ee65754e	fr	definitions	definition_mc	affirmative	Qu’est-ce qu’un « convoi poussé » selon l’ONI ?	Une composition de bateaux non propulsés réunis en un ensemble rigide, poussée par au moins un bateau à moteur | Une composition de bateaux non propulsés remorquée par au moins un bateau à moteur | Tout groupe de bateaux de plaisance naviguant ensemble	A	ONI art. 2 : le convoi poussé est un ensemble rigide poussé ; remorqué = convoi remorqué.	ONI art. 2	https://www.fedlex.admin.ch/eli/cc/1979/337_337_337/fr	2022-01-01	
q-rnl-rnlart71-ba2d9252-53949420	fr	definitions	definition_mc	negative	Parmi ces affirmations sur le temps bouché au sens de l'art. 71 RNL, laquelle est FAUSSE ?	La navigation par temps bouché ne s'applique qu'à la navigation de nuit. | La navigation par temps de neige est considérée comme une navigation par temps bouché. | La navigation par temps de bruine est considérée comme une navigation par temps bouché.	A	L'art. 71 RNL précise que le temps bouché vaut tant de jour que de nuit, et non uniquement de nuit.	RNL art. 71	https://www.fedlex.admin.ch/eli/cc/1978/1994_1993_1993/fr	2019-06-01	
q-rnl-rnlart71-ba2d9252-81aaa7b5	fr	definitions	definition_mc	affirmative	D'après l'art. 71 RNL, la navigation par temps bouché concerne-t-elle aussi des situations non explicitement énumérées ?	Oui, elle vise aussi toutes autres conditions limitant de la même manière la visibilité. | Non, seules les conditions précisément citées (brume, brouillard, etc.) sont visées. | Oui, mais uniquement les conditions causées par la fumée d'un incendie.	A	L'art. 71 RNL étend la notion à toutes autres conditions limitant de la même manière la visibilité.	RNL art. 71	https://www.fedlex.admin.ch/eli/cc/1978/1994_1993_1993/fr	2019-06-01	
q-rnl-rnlart71-ba2d9252-b9f294ea	fr	definitions	definition_mc	affirmative	Selon l'art. 71 RNL, qu'est-ce qui est considéré comme une navigation par temps bouché ?	Toute navigation, de jour comme de nuit, par brume, brouillard, bruine, neige ou gros grains avec pluie. | Uniquement la navigation de nuit par brouillard épais. | Uniquement la navigation de jour lorsque la pluie est accompagnée de vent fort.	A	L'art. 71 RNL définit le temps bouché comme toute navigation, de jour comme de nuit, par brume, brouillard, bruine, neige ou gros grains avec pluie.	RNL art. 71	https://www.fedlex.admin.ch/eli/cc/1978/1994_1993_1993/fr	2019-06-01	
q-rnl-rnlart16-b7510c8f-16542548	fr	eaux_frontalieres	frontiere_mc	affirmative	D'après le RNL art. 16, quelle affirmation est exacte concernant les manifestations sur l'eau ?	En autorisant une manifestation, l'autorité peut permettre des dérogations à certaines dispositions du Règlement si la sécurité de la navigation n'en est pas affectée | Les manifestations nautiques ne nécessitent jamais d'autorisation préalable | En cas de manifestation binationale, une seule autorité décide sans informer l'autre	A	Le RNL art. 16, al. 3, autorise des dérogations à certaines dispositions si la sécurité de la navigation n'est pas affectée.	RNL art. 16	https://www.fedlex.admin.ch/eli/cc/1978/1994_1993_1993/fr	2019-06-01	
q-rnl-rnlart16-b7510c8f-1f0ecf56	fr	eaux_frontalieres	frontiere_mc	affirmative	À quelle condition l'autorisation d'une manifestation nautique est-elle notamment accordée selon le RNL art. 16 ?	Si l'assurance responsabilité civile prescrite a été conclue | Si la manifestation se déroule exclusivement en eaux suisses | Si tous les participants possèdent un permis de catégorie A	A	Le RNL art. 16, al. 2, let. b, exige que l'assurance responsabilité civile prescrite ait été conclue.	RNL art. 16	https://www.fedlex.admin.ch/eli/cc/1978/1994_1993_1993/fr	2019-06-01	
