id	lang	theme	kind	polarity	stem	choices	correct	explanation	source_ref	source_url	source_as_of	image
q-oni-oniart142-d5cfcfd2-3672f8fd	en	definitions	definition_mc	affirmative	"According to ONI art. 142, which ordinance do the definitions of ""risk analysis"", ""safety report"" and ""duty of diligence"" refer to?"	To the ordinance of 14 March 1994 on the construction of vessels (OCEB). | To the Inland Navigation Ordinance (ONI) itself. | To the Navigation Regulations for Lake Geneva (RNL).	A	ONI art. 142 refers, for these concepts, to the articles of the OCEB (ordinance of 14 March 1994 on the construction of vessels).	ONI art. 142	https://www.fedlex.admin.ch/eli/cc/1979/337_337_337/fr	2022-01-01	
q-oni-oniart142-d5cfcfd2-d09c7f3f	en	definitions	definition_mc	negative	Among these statements about the definitions in ONI art. 142, which one is FALSE?	"The ""duty of diligence"" is defined in ONI art. 142 without reference to another ordinance. | The ""safety report"" is a report within the meaning of art. 2, let. e, and art. 17, para. 3, OCEB. | The ""expert examination report"" is a report within the meaning of art. 2, let. f, OCEB."	A	"According to ONI art. 142, let. e, the ""duty of diligence"" is defined by reference to art. 5 OCEB, and not without reference."	ONI art. 142	https://www.fedlex.admin.ch/eli/cc/1979/337_337_337/fr	2022-01-01	
q-oni-oniart142-d5cfcfd2-f9d06e2e	en	definitions	definition_mc	affirmative	"According to ONI art. 142, how are the ""experts"" defined within the meaning of the special provisions of this section?"	As the persons referred to in art. 5a, para. 1, let. a, OCEB. | As the officers of the competent authority of the place of mooring. | As the members of a recognized classification society.	A	"According to ONI art. 142, let. c, the ""experts"" are the persons referred to in art. 5a, para. 1, let. a, OCEB."	ONI art. 142	https://www.fedlex.admin.ch/eli/cc/1979/337_337_337/fr	2022-01-01	
q-oni-oniart2-2bf27aad-1ca80827	en	definitions	definition_mc	affirmative	What is a “pushed convoy” according to the ONI?	An assembly of non-propelled vessels joined together into a rigid unit, pushed by at least one motorised vessel | An assembly of non-propelled vessels towed by at least one motorised vessel | Any group of pleasure craft navigating together	A	ONI art. 2: the pushed convoy is a rigid unit that is pushed; if towed = towed convoy.	ONI art. 2	https://www.fedlex.admin.ch/eli/cc/1979/337_337_337/fr	2022-01-01	
q-oni-oniart2-2bf27aad-de726c75	en	definitions	definition_mc	affirmative	"Within the meaning of the ONI, what does the term ""motorized vessel"" designate?"	A vessel with mechanical propulsion | A non-propelled vessel towed by another vessel | A floating device such as a dredger or a crane	A	"ONI art. 2: a ""motorized vessel"" is a vessel with mechanical propulsion."	ONI art. 2	https://www.fedlex.admin.ch/eli/cc/1979/337_337_337/fr	2022-01-01	
q-rnl-rnlart71-ba2d9252-5d9ad386	en	definitions	definition_mc	affirmative	According to RNL art. 71, does navigation in restricted visibility also concern situations that are not explicitly listed?	Yes, it also covers any other conditions limiting visibility in the same manner. | No, only the conditions specifically cited (mist, fog, etc.) are covered. | Yes, but only conditions caused by smoke from a fire.	A	RNL art. 71 extends the concept to any other conditions limiting visibility in the same manner.	RNL art. 71	https://www.fedlex.admin.ch/eli/cc/1978/1994_1993_1993/fr	2019-06-01	
q-rnl-rnlart71-ba2d9252-ac555567	en	definitions	definition_mc	affirmative	According to RNL art. 71, what is considered navigation in restricted visibility?	Any navigation, by day as by night, in mist, fog, drizzle, snow or heavy squalls with rain. | Only navigation at night in thick fog. | Only navigation by day when the rain is accompanied by strong wind.	A	RNL art. 71 defines restricted visibility as any navigation, by day as by night, in mist, fog, drizzle, snow or heavy squalls with rain.	RNL art. 71	https://www.fedlex.admin.ch/eli/cc/1978/1994_1993_1993/fr	2019-06-01	
q-rnl-rnlart71-ba2d9252-b6ad0be5	en	definitions	definition_mc	negative	Among these statements about restricted visibility within the meaning of RNL art. 71, which one is FALSE?	Navigation in restricted visibility applies only to navigation at night. | Navigation in snowy weather is considered navigation in restricted visibility. | Navigation in drizzly weather is considered navigation in restricted visibility.	A	RNL art. 71 states that restricted visibility applies both by day and by night, and not only at night.	RNL art. 71	https://www.fedlex.admin.ch/eli/cc/1978/1994_1993_1993/fr	2019-06-01	
q-rnl-rnlart16-b7510c8f-75a2bba2	en	eaux_frontalieres	frontiere_mc	affirmative	According to RNL art. 16, which statement is correct concerning events on the water?	When authorising an event, the authority may permit derogations from certain provisions of the Regulation provided that the safety of navigation is not affected | Nautical events never require prior authorisation | In the case of a binational event, a single authority decides without informing the other	A	RNL art. 16, para. 3, allows derogations from certain provisions provided that the safety of navigation is not affected.	RNL art. 16	https://www.fedlex.admin.ch/eli/cc/1978/1994_1993_1993/fr	2019-06-01	
q-rnl-rnlart16-b7510c8f-d1f31b5c	en	eaux_frontalieres	frontiere_mc	affirmative	Under which condition in particular is authorisation for a nautical event granted according to RNL art. 16?	If the prescribed civil liability insurance has been taken out | If the event takes place exclusively in Swiss waters | If all participants hold a category A permit	A	RNL art. 16, para. 2, let. b, requires that the prescribed civil liability insurance has been taken out.	RNL art. 16	https://www.fedlex.admin.ch/eli/cc/1978/1994_1993_1993/fr	2019-06-01	
q-rnl-rnlart62-ff70e033-8bbd322b	en	eaux_frontalieres	frontiere_mc	affirmative	When two vessels follow directly opposite courses with a risk of collision, how must they manoeuvre?	Each turns to starboard so as to pass port to port | Each turns to port so as to pass starboard to starboard | Both maintain their course and speed without any manoeuvre	A	RNL art. 62, let. c, provides that each vessel turns to starboard so as to pass port to port.	RNL art. 62	https://www.fedlex.admin.ch/eli/cc/1978/1994_1993_1993/fr	2019-06-01	
q-rnl-rnlart62-ff70e033-8cc77ef7	en	eaux_frontalieres	frontiere_mc	affirmative	When two vessels follow crossing courses with a possible danger of collision, which one must give way?	The vessel that sees the other on its starboard side | The vessel that sees the other on its port side | The faster of the two vessels	A	According to RNL art. 62, let. b, the vessel that sees the other on its starboard side must give way.	RNL art. 62	https://www.fedlex.admin.ch/eli/cc/1978/1994_1993_1993/fr	2019-06-01	
q-rnl-rnlart64-284d0c2c-a9e2a5f1	en	eaux_frontalieres	frontiere_mc	negative	According to RNL art. 64, which statement is FALSE concerning sailboards and kitesurfs?	Other vessels must give way to sailboards and kitesurfs | Sailboards and kitesurfs give way to all other vessels | Every vessel must give way to a vessel unable to manoeuvre that signals its presence	A	RNL art. 64, para. 2, let. f, states on the contrary that sailboards and kitesurfs give way to all other vessels.	RNL art. 64	https://www.fedlex.admin.ch/eli/cc/1978/1994_1993_1993/fr	2019-06-01	
