id	lang	theme	kind	polarity	stem	choices	correct	explanation	source_ref	source_url	source_as_of	image
q-fr-rgp-43-e53f0eaf	en	ecluses	rule_mc	affirmative	At a lock entrance, what does a RED light mean?	Entry forbidden, you must wait | Entry authorised | Exit from the lock only	A	A single red light means “no entry”; wait. A green light authorises entry; two red lights mean the lock is out of service.	RGP, art. A.4241-53-31 §1 — feux d'écluse (rouge = accès interdit)	https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000023086525/LEGISCTA000027232795/		
q-fr-rgp-44-9193cab9	en	ecluses	rule_mc	affirmative	Which light authorises entry into a lock?	The green light | The red light | Two red lights	A	A green light authorises entry. Two red lights mean the lock is out of service.	RGP, art. A.4241-53-31 §1 — feu vert d'écluse (accès autorisé)	https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000023086525/LEGISCTA000027232795/		
q-fr-rgp-45-45186bd5	en	ecluses	rule_mc	affirmative	In a lock chamber, how should you handle your lines during locking?	Tend and adjust them, never made fast to a fixed point | Make them fast hard to a fixed cleat | Remove all the lines	A	The water level changes: tend the lines and pay out or take in as needed, never make them fast to a fixed point (risk of parting or listing).	RGP, art. A.4241-53-30/-31 — conduite dans le sas d'écluse	https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000023086525/LEGISCTA000027232795/		
q-fr-rgp-64-3d9c8ad0	en	ecluses	rule_mc	affirmative	At a lock, who sets the order and manner in which vessels enter?	The lock-keeper and the lock's signs | The fastest vessel | Each driver, freely	A	The lock-keeper (or the lock's signs / automatic system); follow their instructions and the lights.	RGP, art. A.4241-53-31 §4 et §12 — instructions de l'éclusier	https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000023086525/LEGISCTA000027232795/		
q-fr-rgp-65-223fd27d	en	ecluses	rule_mc	affirmative	At a lock, what do TWO red lights mean?	The lock is out of service | Entry is immediately authorised | Exit is compulsory	A	The lock is out of service / closed to navigation. A single red light means “wait”, and a green light authorises entry.	RGP, art. A.4241-53-31 §1(a) — deux feux rouges (écluse hors service)	https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000023086525/LEGISCTA000027232795/		
q-fr-codetransports-78-6de9f8e6	en	environnement	rule_mc	affirmative	What should the boater do with waste water (black water) on inland waters?	Hold it in a tank and empty it ashore | Discharge it discreetly at night | Discharge it far from the banks	A	Keep it in a holding tank aboard, then empty it at shore collection facilities; discharging it into the waterway is prohibited.	Code des transports, art. R.4241-63 / CDNI (décret 2010-197) — eaux usées (cuve, dépôt à terre)	https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000023086525/		
q-fr-rgp-59-32f112e9	en	environnement	rule_mc	affirmative	On inland waters, discharging hydrocarbons, waste water or rubbish into the waterway is:	Prohibited | Allowed in small amounts | Free outside harbours	A	Prohibited: such discharges pollute the waterway and must be collected and disposed of in the proper facilities.	RGP (Code des transports, art. R.4241-62) — rejet d'hydrocarbures interdit	https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000023086525/LEGISCTA000027232795/		
q-fr-rgp-60-80fd925f	en	environnement	rule_mc	affirmative	To limit bank erosion and disturbance to wildlife, the boater should above all:	Reduce speed and wash near the banks | Run at full speed in the centre | Moor in the reed beds	A	Reduce speed and wash when approaching banks, reed beds and sensitive natural areas.	RGP, art. A.4241-53-21 — réduire vitesse et batillage près des berges	https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000023086525/LEGISCTA000027232795/		
q-fr-rgp-79-0edde366	en	environnement	rule_mc	affirmative	When refuelling, what precaution prevents water pollution?	Avoid any overflow (do not fill to the brim) | Fill as fast as possible | Rinse the tank with canal water	A	Refuel unhurriedly and do not fill to the brim (use a funnel, watch the level) to avoid any fuel spilling into the water.	RGP (Code des transports, art. R.4241-62) — prévention de la pollution	https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000023086525/LEGISCTA000027232795/		
q-fr-codetransports-58-ce87c1b3	en	reglementation	rule_mc	affirmative	Driving a boat under the influence of alcohol is:	Prohibited | Allowed on canals | Tolerated at night	A	Prohibited: the skipper must be fit to steer and react, as when driving a vehicle.	Code des transports, art. L.4274-14 — conduite en état alcoolique (≥ 0,5 g/L)	https://www.legifrance.gouv.fr/codes/texte_lc/LEGITEXT000023086525/		
