id	lang	theme	kind	polarity	stem	choices	correct	explanation	source_ref	source_url	source_as_of	image
q-fr-ialaa-0-876ff971	en	balisage	rule_mc	affirmative	Coming from seaward (IALA region A), what colour and shape is a PORT-hand lateral mark?	Red, can-shaped | Green, conical | Yellow, spherical	A	IALA region A: the port mark is red and can-shaped; keep it on your left when entering.	Balisage IALA région A — marques latérales	https://www.mer.gouv.fr/le-permis-plaisance-permis-de-conduire-les-bateaux-de-plaisance-moteur		
q-fr-ialaa-1-4ff6ebdb	en	balisage	rule_mc	affirmative	Coming from seaward (region A), what colour and shape is a STARBOARD-hand lateral mark?	Green, conical | Red, can-shaped | Black and red, with spheres	A	IALA region A: the starboard mark is green and conical; keep it on your right when entering.	Balisage IALA région A — marques latérales	https://www.mer.gouv.fr/le-permis-plaisance-permis-de-conduire-les-bateaux-de-plaisance-moteur		
q-fr-ialaa-2-3f95a40e	en	balisage	rule_mc	affirmative	How is a NORTH cardinal mark's topmark recognised, and which side do you pass?	Two cones pointing up; pass to the north | Two cones pointing down; pass to the south | Two cones point-to-point; pass to the west	A	North cardinal: two black cones, points UP; safe water is to the north, so pass to the north of the mark.	Balisage IALA — marque cardinale Nord	https://www.mer.gouv.fr/le-permis-plaisance-permis-de-conduire-les-bateaux-de-plaisance-moteur		
q-fr-ialaa-3-94416808	en	balisage	rule_mc	affirmative	What does a black mark with red horizontal bands, topped by two black spheres, indicate?	An isolated danger surrounded by safe water | The main harbour entrance | A supervised swimming area	A	It is an isolated-danger mark: moored ON a small danger surrounded by safe water; white light, group flashing (2).	Balisage IALA — marque de danger isolé	https://www.mer.gouv.fr/le-permis-plaisance-permis-de-conduire-les-bateaux-de-plaisance-moteur		
q-fr-ialaa-4-9ddb6365	en	balisage	rule_mc	affirmative	What does a mark with red and white vertical stripes and a red spherical topmark indicate?	Safe water all around; pass on either side | An isolated danger to avoid | The starboard side of a channel	A	Safe-water mark (mid-channel / landfall): you may pass it on either side.	Balisage IALA — marque d'eaux saines	https://www.mer.gouv.fr/le-permis-plaisance-permis-de-conduire-les-bateaux-de-plaisance-moteur		
q-fr-arrete2007-29-46227b59	en	environnement	rule_mc	affirmative	At sea, what does the regulation say about discharging rubbish and hydrocarbons?	It is prohibited | It is free beyond 3 miles | It is allowed at night	A	Discharging rubbish and hydrocarbons into the sea is prohibited; waste must be brought back ashore.	Rejets en mer	https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000428843/	2022-06-01	
q-fr-arrete2007-30-4a1422dc	en	environnement	rule_mc	affirmative	What should the boater do with waste produced aboard?	Bring it ashore to harbour facilities | Throw it overboard offshore | Burn it aboard	A	Keep it aboard and dispose of it ashore in the harbour's collection facilities.	Gestion des déchets à bord	https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000428843/	2022-06-01	
q-fr-division240-15-a8104676	en	feux_signaux	rule_mc	affirmative	Which of these is a recognised PYROTECHNIC distress signal at sea?	A red parachute flare | A flashing green light | A hoisted yellow flag	A	A red parachute rocket flare is a recognised distress signal; orange smoke also serves by day.	Signaux de détresse en mer	https://www.mer.gouv.fr/la-division-240		
q-fr-ripam-10-101515fc	en	feux_signaux	rule_mc	affirmative	At night, an underway power-driven vessel under 50 m shows sidelights. What colour is the PORT sidelight?	Red | Green | White	A	COLREG: port sidelight RED, starboard green; plus a white masthead light and a white sternlight.	RIPAM règle 23 — Feux d'un navire à moteur	https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000305722/		
q-fr-ripam-11-6d40be16	en	feux_signaux	rule_mc	affirmative	In sight of another vessel, a power-driven vessel sounds ONE short blast. What is it signalling?	“I am altering to starboard” | “I am altering to port” | “I am operating astern”	A	COLREG rule 34: one short blast = “I am altering my course to starboard”.	RIPAM règle 34 — Signaux de manœuvre (1 son bref)	https://www.legifrance.gouv.fr/loda/id/JORFTEXT000000305722/		
