id	lang	theme	kind	polarity	stem	choices	correct	explanation	source_ref	source_url	source_as_of	image
q-fr-rgp-43-75365392	fr	ecluses	rule_mc	affirmative	À l'entrée d'une écluse, que signifie un feu ROUGE ?	Entrée interdite, il faut attendre | Entrée autorisée | Sortie de l'écluse seulement	A	Un feu rouge isolé signifie « accès interdit » ; on attend. Le feu vert autorise l'entrée ; deux feux rouges = écluse hors service.	RGP, art. A.4241-53-31 §1 — feux d'écluse (rouge = accès interdit)	https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000023086525/LEGISCTA000027232795/		
q-fr-rgp-44-bcd4b849	fr	ecluses	rule_mc	affirmative	Quel feu autorise l'entrée dans une écluse ?	Le feu vert | Le feu rouge | Deux feux rouges	A	Le feu vert autorise l'entrée. Deux feux rouges signifient que l'écluse est hors service.	RGP, art. A.4241-53-31 §1 — feu vert d'écluse (accès autorisé)	https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000023086525/LEGISCTA000027232795/		
q-fr-rgp-45-8e34446a	fr	ecluses	rule_mc	affirmative	Dans le sas d'une écluse, comment doit-on tenir ses amarres pendant l'éclusée ?	Les tenir et les ajuster, sans les frapper à poste fixe | Les frapper solidement à un taquet fixe | Retirer toutes les amarres	A	Le niveau d'eau varie : il faut tenir les amarres et les filer ou les reprendre au fur et à mesure, sans jamais les frapper à poste fixe (risque de rupture ou de gîte).	RGP, art. A.4241-53-30/-31 — conduite dans le sas d'écluse	https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000023086525/LEGISCTA000027232795/		
q-fr-rgp-64-24ca4c28	fr	ecluses	rule_mc	affirmative	À l'écluse, qui fixe l'ordre et les modalités d'entrée des bateaux ?	L'éclusier et la signalisation de l'écluse | Le bateau le plus rapide | Chaque conducteur, librement	A	L'éclusier (ou la signalisation / l'automatisme de l'écluse) ; on suit ses instructions et les feux.	RGP, art. A.4241-53-31 §4 et §12 — instructions de l'éclusier	https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000023086525/LEGISCTA000027232795/		
q-fr-rgp-65-565e0d5c	fr	ecluses	rule_mc	affirmative	À une écluse, que signifient DEUX feux rouges ?	L'écluse est hors service | L'entrée est immédiatement autorisée | La sortie est obligatoire	A	L'écluse est hors service / fermée à la navigation. Un seul feu rouge signifie « attendez » et le feu vert autorise l'entrée.	RGP, art. A.4241-53-31 §1(a) — deux feux rouges (écluse hors service)	https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000023086525/LEGISCTA000027232795/		
q-fr-rgp-92-251019f2	fr	ecluses	rule_mc	affirmative	Dans une ouverture de pont ou de barrage portant le signal d'interdiction A.10, où la navigation est-elle autorisée ?	Uniquement dans l'espace compris entre les deux panneaux constituant le signal | Partout dans l'ouverture, sauf au centre du chenal | De préférence entre les deux panneaux, mais sans interdiction ailleurs	A	Lorsqu'une ouverture de pont ou de barrage porte le signal d'interdiction A.10, la navigation est interdite en dehors de l'espace compris entre les deux panneaux constituant ce signal ; elle n'est donc admise qu'entre ces deux panneaux.	RGP, art. A4241-53-26	https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000027909328		
q-fr-rgp-93-06b12b10	fr	ecluses	rule_mc	affirmative	Une ouverture de pont fixe est marquée par un ou plusieurs feux rouges. Que devez-vous en conclure ?	L'ouverture est interdite à la navigation. | L'ouverture est recommandée de préférence dans les deux sens. | L'ouverture est réservée aux bateaux montants uniquement.	A	Lorsque certaines ouvertures de ponts fixes sont indiquées par un ou plusieurs feux rouges (ou le signal général d'interdiction A.1), ces ouvertures sont interdites à la navigation.	RGP, art. A4241-53-27	https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000027909330		
q-fr-rgp-94-9128e600	fr	ecluses	rule_mc	affirmative	Lorsqu'un bateau bénéficiant d'un droit de priorité de passage aux écluses approche des garages d'écluses ou y stationne, comment doivent se comporter les autres bateaux ?	Ils doivent lui faciliter au maximum le passage | Ils conservent leur tour de passage dans l'ordre d'arrivée | Ils doivent quitter immédiatement le garage de l'écluse	A	Lorsque les bateaux disposant d'un droit de priorité de passage aux écluses s'approchent des garages des écluses ou y sont en stationnement, les autres bateaux doivent leur faciliter au maximum le passage.	RGP, art. A4241-53-32	https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000027909340		
q-fr-rgp-95-f072b468	fr	ecluses	rule_mc	affirmative	Pendant les périodes normales de navigation, quelle est la durée maximale pendant laquelle le gestionnaire peut exceptionnellement autoriser un bateau à stationner dans les garages d'écluses ?	Dix jours | Trois jours | Trente jours	A	Le gestionnaire peut exceptionnellement autoriser le stationnement dans les garages d'écluses pendant les périodes normales de navigation sans que cette durée n'excède dix jours.	RGP, art. A4241-54-9	https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000027909518		
q-fr-rgp-96-43b23e1a	fr	ecluses	rule_mc	affirmative	Concernant les passerelles et autres dépendances des écluses et barrages, quelle règle s'applique ?	Il est interdit d'y stationner et d'y circuler, sauf si elles sont aménagées pour servir de passage public. | On peut s'y tenir librement, y compris sur les ponts mobiles pendant la manœuvre. | La circulation y est autorisée à condition de porter un équipement individuel de flottabilité.	A	Il est interdit de stationner et de circuler sur les passerelles et autres dépendances des écluses et barrages, à moins qu'elles ne soient aménagées pour servir de passage public ; il est également interdit de se tenir sur les ponts mobiles pendant la manœuvre.	RGP, art. R4241-71	https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000027232977		
